0	0
33.4	0.1
43.6	0.2
50.8	0.3
57.2	0.4
63.6	0.5
70.4	0.6
78.1	0.7
87.2	0.8
98.7	0.9
114	1
136	1.1
172	1.2
242	1.3
428	1.4
1027	1.5
2576	1.6
5409	1.7
9677	1.8
